Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Northamptonshire,769 (389 -- 2118),Unsure,1.3 (0.92 -- 2.1),0.073 (-0.022 -- 0.28),9.6 (2.4 -- -32)
Northumberland,174 (90 -- 377),Unsure,1.2 (0.9 -- 1.8),0.055 (-0.028 -- 0.19),12 (3.7 -- -25)
Nottingham,201 (107 -- 443),Unsure,1.2 (0.91 -- 1.8),0.051 (-0.027 -- 0.2),14 (3.5 -- -26)
Nottinghamshire,382 (206 -- 689),Unsure,1.1 (0.8 -- 1.4),0.015 (-0.057 -- 0.1),46 (6.7 -- -12)
Oldham,78 (34 -- 260),Unsure,1.1 (0.72 -- 2),0.02 (-0.08 -- 0.25),35 (2.7 -- -8.7)
Orkney Islands,0 (0 -- 0),Unsure,0.65 (0.061 -- 1.4),-0.1 (-0.33 -- 0.12),-6.7 (5.9 -- -2.1)
Oxfordshire,474 (206 -- 1129),Unsure,1 (0.69 -- 1.6),0.012 (-0.09 -- 0.15),57 (4.6 -- -7.7)
Pembrokeshire,58 (21 -- 117),Likely increasing,1.1 (0.79 -- 1.3),0.025 (-0.059 -- 0.072),28 (9.6 -- -12)
Perth and Kinross,17 (3 -- 41),Unsure,0.91 (0.46 -- 1.1),-0.025 (-0.16 -- 0.031),-28 (23 -- -4.2)
Peterborough,141 (70 -- 223),Likely increasing,1 (0.77 -- 1.2),0.0077 (-0.067 -- 0.058),90 (12 -- -10)
Plymouth,160 (52 -- 446),Unsure,1.3 (0.75 -- 2),0.072 (-0.072 -- 0.24),9.6 (2.9 -- -9.6)
Portsmouth,282 (100 -- 979),Unsure,1.2 (0.75 -- 2.3),0.063 (-0.072 -- 0.31),11 (2.3 -- -9.6)
Powys,50 (15 -- 137),Unsure,1.1 (0.69 -- 1.5),0.023 (-0.09 -- 0.12),30 (5.7 -- -7.7)
Reading,130 (56 -- 249),Unsure,1 (0.67 -- 1.3),9.9e-05 (-0.094 -- 0.077),7000 (9 -- -7.4)
Redbridge,569 (245 -- 1388),Unsure,0.97 (0.63 -- 1.6),-0.0094 (-0.11 -- 0.15),-74 (4.7 -- -6.4)
Redcar and Cleveland,214 (40 -- 1355),Unsure,2.4 (1.1 -- 5.6),0.33 (0.016 -- 0.95),2.1 (0.73 -- 42)
Renfrewshire,18 (7 -- 35),Unsure,0.88 (0.67 -- 1),-0.035 (-0.098 -- 0.01),-20 (68 -- -7.1)
Rhondda Cynon Taf,279 (70 -- 899),Unsure,0.94 (0.49 -- 1.5),-0.017 (-0.15 -- 0.13),-41 (5.3 -- -4.5)
Richmond upon Thames,113 (39 -- 284),Unsure,0.76 (0.43 -- 1.2),-0.069 (-0.17 -- 0.057),-10 (12 -- -4)
Rochdale,101 (62 -- 174),Unsure,1.1 (0.91 -- 1.4),0.033 (-0.025 -- 0.11),21 (6.4 -- -28)
Rotherham,88 (45 -- 227),Unsure,1 (0.76 -- 1.6),0.0085 (-0.069 -- 0.16),81 (4.2 -- -10)
Rutland,13 (4 -- 32),Unsure,1.1 (0.57 -- 1.5),0.027 (-0.13 -- 0.12),25 (5.6 -- -5.4)
Salford,62 (29 -- 131),Unsure,0.89 (0.6 -- 1.3),-0.031 (-0.12 -- 0.075),-22 (9.2 -- -5.9)
Sandwell,382 (209 -- 725),Unsure,1.3 (0.95 -- 1.8),0.072 (-0.012 -- 0.19),9.6 (3.6 -- -56)
Scottish Borders,2 (0 -- 18),Unsure,0.49 (0.089 -- 1.1),-0.15 (-0.32 -- 0.024),-4.5 (29 -- -2.2)
Sefton,311 (137 -- 814),Unsure,1.5 (1 -- 2.4),0.14 (0.011 -- 0.34),5.1 (2 -- 63)
Sheffield,199 (127 -- 307),Unsure,1.1 (0.9 -- 1.3),0.024 (-0.028 -- 0.08),29 (8.6 -- -25)
Shetland Islands,0 (0 -- 2),Unsure,1 (0.69 -- 1.9),0.0022 (-0.09 -- 0.22),320 (3.1 -- -7.7)
Shropshire,253 (82 -- 1510),Unsure,1.8 (1.1 -- 4.1),0.19 (0.017 -- 0.69),3.6 (1 -- 42)
Slough,311 (169 -- 624),Likely increasing,1.2 (0.93 -- 1.7),0.063 (-0.018 -- 0.19),11 (3.7 -- -39)
Solihull,132 (65 -- 256),Unsure,1.1 (0.82 -- 1.5),0.035 (-0.051 -- 0.13),20 (5.2 -- -14)
Somerset,424 (217 -- 908),Unsure,1.3 (0.93 -- 1.8),0.068 (-0.019 -- 0.2),10 (3.5 -- -36)
South Ayrshire,6 (1 -- 14),Unsure,0.8 (0.41 -- 1),-0.057 (-0.18 -- 0.0038),-12 (180 -- -3.9)
South Gloucestershire,200 (71 -- 1191),Unsure,1.4 (0.88 -- 3.6),0.11 (-0.033 -- 0.58),6.1 (1.2 -- -21)
South Lanarkshire,110 (57 -- 246),Unsure,1.1 (0.9 -- 1.5),0.037 (-0.029 -- 0.13),19 (5.2 -- -24)
South Tyneside,464 (65 -- 3504),Unsure,2.7 (1.1 -- 7.4),0.41 (0.019 -- 1.2),1.7 (0.56 -- 37)
Southampton,270 (97 -- 784),Unsure,1.2 (0.71 -- 2),0.05 (-0.084 -- 0.26),14 (2.7 -- -8.3)
Southend-on-Sea,120 (31 -- 372),Unsure,0.65 (0.31 -- 1.1),-0.1 (-0.22 -- 0.036),-6.7 (19 -- -3.1)
Southwark,337 (116 -- 850),Unsure,0.89 (0.51 -- 1.4),-0.03 (-0.15 -- 0.11),-23 (6.5 -- -4.8)
St. Helens,99 (58 -- 164),Unsure,1.2 (0.99 -- 1.5),0.06 (-0.0038 -- 0.12),12 (5.6 -- -180)
Staffordshire,649 (343 -- 1602),Unsure,1.2 (0.91 -- 2),0.063 (-0.025 -- 0.24),11 (2.9 -- -28)
Stirling,4 (1 -- 14),Unsure,0.83 (0.48 -- 1.1),-0.047 (-0.16 -- 0.04),-15 (17 -- -4.4)
Stockport,240 (134 -- 420),Unsure,1.3 (1 -- 1.7),0.087 (0.0061 -- 0.18),8 (4 -- 110)
Stockton-on-Tees,72 (25 -- 303),Unsure,1 (0.61 -- 2.2),0.012 (-0.11 -- 0.29),59 (2.4 -- -6.1)
Stoke-on-Trent,70 (35 -- 125),Unsure,0.89 (0.65 -- 1.1),-0.032 (-0.1 -- 0.035),-22 (20 -- -6.8)
Suffolk,513 (246 -- 979),Unsure,1.2 (0.84 -- 1.5),0.043 (-0.046 -- 0.13),16 (5.4 -- -15)
Sunderland,238 (117 -- 633),Unsure,1.4 (1 -- 2.3),0.11 (0.0073 -- 0.3),6.5 (2.3 -- 95)
Surrey,1041 (490 -- 1981),Unsure,0.96 (0.66 -- 1.3),-0.011 (-0.1 -- 0.081),-63 (8.5 -- -6.9)
Sutton,405 (189 -- 830),Unsure,1.1 (0.78 -- 1.5),0.031 (-0.061 -- 0.14),23 (5.1 -- -11)
Swansea,182 (46 -- 540),Unsure,0.86 (0.45 -- 1.3),-0.04 (-0.17 -- 0.084),-17 (8.3 -- -4.1)
Swindon,257 (135 -- 487),Unsure,1.4 (1.1 -- 1.8),0.098 (0.015 -- 0.2),7.1 (3.5 -- 46)
Tameside,151 (79 -- 280),Unsure,1.3 (0.99 -- 1.7),0.085 (-0.0041 -- 0.19),8.2 (3.7 -- -170)
Telford and Wrekin,54 (21 -- 146),Unsure,1.1 (0.7 -- 1.7),0.021 (-0.088 -- 0.19),33 (3.7 -- -7.9)
Thurrock,255 (75 -- 1188),Unsure,0.88 (0.45 -- 2.2),-0.033 (-0.17 -- 0.29),-21 (2.4 -- -4.2)
Torbay,30 (8 -- 123),Unsure,1.2 (0.66 -- 2.3),0.06 (-0.099 -- 0.33),12 (2.1 -- -7)
Torfaen,152 (76 -- 298),Likely increasing,1.1 (0.87 -- 1.4),0.029 (-0.036 -- 0.096),24 (7.3 -- -19)
Tower Hamlets,534 (233 -- 1168),Unsure,0.97 (0.64 -- 1.4),-0.0081 (-0.11 -- 0.12),-85 (5.9 -- -6.6)
Trafford,110 (47 -- 237),Unsure,1 (0.67 -- 1.5),0.0047 (-0.094 -- 0.12),150 (5.7 -- -7.4)
Vale of Glamorgan,273 (128 -- 592),Likely increasing,1.2 (0.92 -- 1.5),0.058 (-0.022 -- 0.14),12 (5.1 -- -32)
Wakefield,164 (96 -- 298),Unsure,1.2 (0.96 -- 1.6),0.057 (-0.012 -- 0.15),12 (4.7 -- -58)
Walsall,190 (101 -- 344),Unsure,1.1 (0.8 -- 1.5),0.026 (-0.056 -- 0.12),26 (5.9 -- -12)
Waltham Forest,440 (203 -- 835),Likely increasing,0.97 (0.68 -- 1.3),-0.0078 (-0.092 -- 0.069),-88 (10 -- -7.5)
Wandsworth,130 (33 -- 545),Unsure,0.62 (0.27 -- 1.4),-0.11 (-0.24 -- 0.11),-6.2 (6.1 -- -2.9)
Warrington,164 (78 -- 391),Unsure,1.2 (0.83 -- 1.8),0.047 (-0.047 -- 0.2),15 (3.5 -- -15)
Warwickshire,305 (121 -- 1060),Unsure,1.2 (0.72 -- 2.3),0.047 (-0.078 -- 0.31),15 (2.2 -- -8.8)
West Berkshire,96 (26 -- 448),Unsure,1.1 (0.54 -- 2.4),0.016 (-0.14 -- 0.33),44 (2.1 -- -5)
West Dunbartonshire,8 (1 -- 20),Unsure,0.93 (0.39 -- 1.1),-0.02 (-0.18 -- 0.036),-35 (19 -- -3.8)
West Lothian,11 (3 -- 25),Likely decreasing,0.86 (0.56 -- 1.4),-0.04 (-0.13 -- 0.095),-17 (7.3 -- -5.3)
West Sussex,850 (352 -- 2419),Unsure,1.2 (0.76 -- 2),0.052 (-0.067 -- 0.25),13 (2.8 -- -10)
Westminster,140 (49 -- 359),Unsure,0.78 (0.43 -- 1.2),-0.064 (-0.17 -- 0.066),-11 (10 -- -4)
Wigan,298 (150 -- 681),Unsure,1.5 (1.1 -- 2.2),0.14 (0.04 -- 0.3),5.1 (2.3 -- 17)
Wiltshire,322 (159 -- 639),Unsure,1.3 (1 -- 1.8),0.09 (4e-04 -- 0.2),7.7 (3.4 -- 1700)
Windsor and Maidenhead,222 (92 -- 498),Unsure,1.1 (0.74 -- 1.6),0.037 (-0.075 -- 0.15),19 (4.6 -- -9.2)
Wirral,373 (171 -- 903),Unsure,1.4 (0.99 -- 2.1),0.11 (-0.0037 -- 0.27),6.5 (2.5 -- -190)
Wokingham,212 (103 -- 388),Likely increasing,1.2 (0.88 -- 1.5),0.051 (-0.033 -- 0.13),14 (5.4 -- -21)
Wolverhampton,392 (254 -- 621),Unsure,1.3 (1.1 -- 1.6),0.08 (0.025 -- 0.15),8.7 (4.7 -- 28)
Worcestershire,403 (182 -- 1090),Unsure,1.3 (0.85 -- 2.1),0.069 (-0.042 -- 0.26),10 (2.7 -- -17)
Wrexham,291 (133 -- 677),Unsure,1.3 (1 -- 1.7),0.086 (0.0019 -- 0.19),8 (3.6 -- 370)
York,264 (111 -- 589),Unsure,1.4 (0.92 -- 2),0.1 (-0.024 -- 0.24),6.8 (2.9 -- -29)
