"dataset","subregion","start_date","runtime","start_date_1","runtime_1","start_date_2","runtime_2","start_date_3","runtime_3","start_date_4","runtime_4"
"deaths","United Kingdom",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2564.898,2020-09-26 21:20:21,1688.532,2020-09-21 05:32:03,931.508,2020-09-20 04:57:51,918.59
"deaths","United States",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2162.465,2020-09-26 21:20:21,1550.539,2020-09-21 05:32:03,943.068,2020-09-20 04:57:51,903.149
"deaths","Uruguay",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1302.442,2020-09-26 21:20:21,928.551,2020-09-21 05:32:03,572.5,2020-09-20 04:57:51,502.939
"deaths","Uzbekistan",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1582.913,2020-09-26 21:20:21,3241.514,2020-09-21 05:32:03,582.951,2020-09-20 04:57:51,591.724
"deaths","Venezuela",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1521.265,2020-09-26 21:20:21,1109.047,2020-09-21 05:32:03,831.264,2020-09-20 04:57:51,1043.828
"deaths","Vietnam",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,772.936,2020-09-26 21:20:21,630.61,2020-09-21 05:32:03,387.91,2020-09-20 04:57:51,321.605
"deaths","Yemen",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1292.492,2020-09-26 21:20:21,1045.634,2020-09-21 05:32:03,672.775,2020-09-20 04:57:51,739.867
"deaths","Zambia",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1493.116,2020-09-26 21:20:21,899.45,2020-09-21 05:32:03,660.616,2020-09-20 04:57:51,849.757
"deaths","Zimbabwe",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1934.416,2020-09-26 21:20:21,1189.083,2020-09-21 05:32:03,849.962,2020-09-20 04:57:51,648.242
"deaths","Aruba",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,718.547,2020-09-26 21:20:21,624.467,2020-09-21 05:32:03,240.453,2020-09-20 04:57:51,330.103
"canada","Prince Edward Island",2020-09-30 00:07:02,-1,2020-09-29 10:36:29,445.255,2020-09-28 22:59:05,435.437,2020-09-27 02:19:04,292.258999999998,2020-09-21 10:04:20,373.56
"cases","Caribbean Netherlands",2020-09-30 00:02:49,-1,2020-09-28 12:23:15,2365.919,2020-09-28 03:29:56,2318.694,2020-09-26 16:17:27,1402.431,2020-09-21 00:17:29,781.636
