Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Bangladesh,772 (566 -- 1054),Stable,0.96 (0.83 -- 1.1),-0.012 (-0.048 -- 0.03),-60 (23 -- -14)
Barbados,234 (57 -- 1418),Likely increasing,1.9 (1.3 -- 3.3),0.23 (0.087 -- 0.51),3 (1.4 -- 8)
Belarus,1643 (1235 -- 2142),Likely increasing,0.97 (0.86 -- 1.1),-0.0097 (-0.039 -- 0.018),-72 (40 -- -18)
Belgium,512 (148 -- 1601),Likely decreasing,0.7 (0.4 -- 1.1),-0.085 (-0.19 -- 0.039),-8.1 (18 -- -3.7)
Belize,47 (8 -- 454),Stable,1 (0.5 -- 2.7),0.01 (-0.15 -- 0.39),67 (1.8 -- -4.6)
Benin,3 (0 -- 14),Likely decreasing,0.93 (0.63 -- 1.2),-0.018 (-0.11 -- 0.064),-38 (11 -- -6.5)
Bermuda,3 (0 -- 33),Likely increasing,0.77 (0.29 -- 1.3),-0.065 (-0.23 -- 0.075),-11 (9.2 -- -3)
Bhutan,44 (10 -- 171),Likely increasing,1.2 (0.8 -- 1.6),0.064 (-0.057 -- 0.16),11 (4.3 -- -12)
Bolivia,2335 (1273 -- 4153),Stable,1.2 (0.89 -- 1.5),0.045 (-0.03 -- 0.12),16 (5.7 -- -23)
Bosnia & Herzegovina,829 (372 -- 2071),Stable,1.4 (0.96 -- 2.1),0.1 (-0.011 -- 0.28),6.9 (2.5 -- -64)
Botswana,246 (73 -- 859),Likely increasing,1 (0.73 -- 1.3),-0.0011 (-0.077 -- 0.088),-630 (7.9 -- -9)
Brazil,28935 (18935 -- 46402),Stable,0.94 (0.81 -- 1.1),-0.016 (-0.053 -- 0.033),-42 (21 -- -13)
Bulgaria,644 (303 -- 1942),Stable,1 (0.77 -- 1.6),0.0013 (-0.066 -- 0.15),530 (4.8 -- -11)
Burkina Faso,238 (47 -- 1078),Stable,1 (0.6 -- 1.6),0.0019 (-0.12 -- 0.14),360 (4.9 -- -5.9)
Burundi,10 (5 -- 42),Likely increasing,1.1 (0.97 -- 1.5),0.024 (-0.0083 -- 0.13),28 (5.4 -- -83)
Cambodia,2 (0 -- 39),Likely increasing,1.1 (0.68 -- 2.5),0.021 (-0.094 -- 0.36),33 (1.9 -- -7.4)
Cameroon,207 (54 -- 710),Likely increasing,1 (0.75 -- 1.3),0.012 (-0.072 -- 0.088),58 (7.8 -- -9.6)
Canada,7800 (5956 -- 10613),Likely increasing,1 (0.95 -- 1.1),0.0062 (-0.014 -- 0.037),110 (19 -- -48)
Cape Verde,31 (15 -- 82),Likely decreasing,0.96 (0.85 -- 1.2),-0.01 (-0.042 -- 0.058),-67 (12 -- -16)
